Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
7.5362E+17,https://twitter.com/TrumanProject/status/753620238562758656,"One year later, tough diplomacy and U.S. leadership continue to pay off. The #IranDeal worked. https://t.co/WZMBNQjxRc",2016-07-14 16:00 +0000,1296,11,0.008487654,4,0,2,2,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.536E+17,https://twitter.com/TrumanProject/status/753599803787993089,"â†’ @k8gould on the how, on the anniversary of the #IranDeal, the world is a safer place. #IranDeal1YearLater https://t.co/mMt83QVhXT",2016-07-14 14:39 +0000,1330,4,0.003007519,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.5296E+17,https://twitter.com/TrumanProject/status/752960281505067008,.@MD_Connolly of @Vets4Diplomacy in @TaskandPurpose RE: How to keep healthcare promises weâ€™ve made to our #veterans https://t.co/w2oqUVEjzq,2016-07-12 20:18 +0000,8093,18,0.002224144,6,0,8,1,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.52931E+17,https://twitter.com/TrumanProject/status/752931045230555136,"If you take @realDonaldTrump at his word, you have to #AdmitHesUnfit.  https://t.co/kIgtznnnCO",2016-07-12 18:22 +0000,5108,20,0.003915427,6,0,7,4,0,1,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.52895E+17,https://twitter.com/TrumanProject/status/752895429126201344,"Itâ€™s been nearly a year since we signed @TheIranDeal, and the @IranProject2016 is working to build on its success. https://t.co/fORkSD21Eo",2016-07-12 16:00 +0000,1568,25,0.015943878,6,0,5,8,5,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.52578E+17,https://twitter.com/TrumanProject/status/752578336560287744,#LetSikhsServe  https://t.co/MWatqfGoDe,2016-07-11 19:00 +0000,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.52576E+17,https://twitter.com/TrumanProject/status/752575847039700992,"We're not ready to set any of it aside, are you? #AdmitHesUnfit https://t.co/F7T5ZhaHKD",2016-07-11 18:50 +0000,2415,34,0.014078675,4,0,2,1,2,0,3,0,0,0,0,0,0,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.52533E+17,https://twitter.com/TrumanProject/status/752533034218295297,Donald Trump admires dictators. One more reason to #AdmitHesUnfit. https://t.co/LPKCyq4rdP,2016-07-11 16:00 +0000,1229,2,0.001627339,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.52518E+17,https://twitter.com/TrumanProject/status/752517860996493312,Congratulations to Truman Partner @MaryKateC on her new position as Director of Public Policy at @ASAEcenter! Way to go! _Ÿ‘ç,2016-07-11 15:00 +0000,1433,32,0.022330775,2,0,5,6,0,0,19,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.51144E+17,https://twitter.com/TrumanProject/status/751143882709098496,".@ThirdWayTweet and @TrumanProject agree it's time all parties #AdmitHesUnfit.Join us â†’ https://t.co/Cs29hbCGTL https://t.co/tzobVHHswg",2016-07-07 20:00 +0000,3124,36,0.011523688,8,0,3,4,2,4,4,0,0,0,0,0,0,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
